,combined
0,"Senior Software Engineer B.Sc in Computer Science & Engineering from a reputed university. At least 1 year nan Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




 nan"
1,"Machine Learning (ML) Engineer M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University At least 5 year(s) nan Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis nan"
2,"Executive/ Senior Executive- Trade Marketing, Hygiene Products Master of Business Administration (MBA) At least 3 years nan Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing"
3,"Business Development Executive Bachelor/Honors 1 to 3 years Age 22 to 30 years Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication Fast typing skill
IELTSInternet browsing & online work ability."
4,"Senior iOS Engineer Bachelor of Science (BSc) in Computer Science At least 4 years nan iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI"
5,"AI Engineer Bachelors or Masters degree in Computer Science, Engineering, or a related field. nan nan Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration Python
R or Java
TensorFlow
PyTorch
Scikit-learn."
8,"Mechanical Engineer Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical 2 to 5 years Age 25 to 40 years Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance Maintenance  and Troubleshooting
Mechanical"
10,"Mechanical Designer Bachelor’s degree in Mechanical Engineering from a reputed institute. At least 5 years Age at least 24 years Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation AutoCAD
Solidworks"
11,"Asst. Manager/ Manger (Administrative) Bachelor/Honors At least 5 years Age at least 28 years Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation •Administration
•Health Safety and Environment
•Safety and Security Management"
15,"Database Administrator (DBA) Bachelor of Science (BSc) in Computer Science At least 1 year Age 25 to 40 years Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS"
