n_neighbors,weights,ngram_range,max_features,rmse,mae,r2,rmse_train,mae_train,r2_train
10,distance,"(1, 1)",,0.1097436438903683,0.08342626467150353,0.5644778139195905,0.0,0.0,1.0
10,uniform,"(1, 1)",,0.10999728296000143,0.08352822334681335,0.5624623332629457,0.09979134582104905,0.07591046868469765,0.6438259636865011
10,distance,"(1, 2)",,0.11041453947786378,0.08414095764734394,0.5591365836761212,0.0,0.0,1.0
10,uniform,"(1, 2)",,0.11056866867471518,0.08419829479196787,0.5579049098272857,0.09979830877106592,0.07621317694328314,0.6437762578024161
10,distance,"(1, 1)",1000.0,0.1119680128264635,0.08499845405348815,0.5466438912348276,0.0,0.0,1.0
10,uniform,"(1, 1)",1000.0,0.11209819691926472,0.08507789336409988,0.5455890531058918,0.10147318007898479,0.07667172168742632,0.6317192317187539
10,distance,"(1, 1)",500.0,0.11224335709630211,0.08470244237381666,0.5444114234223871,0.0,0.0,1.0
10,uniform,"(1, 1)",500.0,0.11233098785420663,0.08474851227485593,0.5436997704946933,0.10221832534214653,0.07713421048609037,0.6262906002306092
10,distance,"(1, 2)",1000.0,0.11297547392737088,0.0852591985124151,0.5384488104293321,0.0,0.0,1.0
10,uniform,"(1, 2)",1000.0,0.11300893847232728,0.0852847732308364,0.5381753371245133,0.1030005571763148,0.07736823350693735,0.6205490482214152
10,distance,"(1, 2)",500.0,0.11317731864092015,0.08525064165625922,0.5367981001140786,0.0,0.0,1.0
10,uniform,"(1, 2)",500.0,0.11324032341380301,0.08530993616415226,0.5362822360864679,0.10260047673581253,0.07730524144173324,0.6234910918753649
5,distance,"(1, 2)",,0.1149782473989047,0.08747952932723345,0.5219394576627863,0.0,0.0,1.0
5,uniform,"(1, 2)",,0.11508217066282088,0.08750700189743323,0.5210748756147221,0.09425122598748253,0.07186894857583934,0.6822756392180409
5,distance,"(1, 1)",,0.11560538597671191,0.08770084973387748,0.5167101580443559,0.0,0.0,1.0
5,uniform,"(1, 1)",,0.11577780700869006,0.08779790446746989,0.5152674661861161,0.09406834242857358,0.07105170074095613,0.6835074574087523
5,distance,"(1, 1)",1000.0,0.1171274110737704,0.0887906210574718,0.5039006947479805,0.0,0.0,1.0
5,uniform,"(1, 1)",1000.0,0.11717110740860645,0.08885061360331761,0.5035304694561676,0.09580605678586461,0.07212584836072473,0.6717063897430816
5,distance,"(1, 1)",500.0,0.11788747561041803,0.0889645492414333,0.49744121749255255,0.0,0.0,1.0
5,uniform,"(1, 1)",500.0,0.1179365032649816,0.08902522659601884,0.49702311706560753,0.09646617850893165,0.07197848603940625,0.6671667948538675
5,uniform,"(1, 2)",500.0,0.11862752877348592,0.08890811994457831,0.49111166293727504,0.09757329284175995,0.07282282902355817,0.6594832955816754
5,distance,"(1, 2)",500.0,0.11865541424342915,0.08886012170883763,0.490872388656722,0.0,0.0,1.0
5,uniform,"(1, 2)",1000.0,0.1196611452611109,0.08993564912198357,0.4822050134817799,0.0971589380337863,0.07265657321697445,0.6623692317446817
5,distance,"(1, 2)",1000.0,0.11966448024829465,0.08988063400211886,0.4821761509181831,0.0,0.0,1.0
3,distance,"(1, 1)",,0.12250944128642377,0.092709117796602,0.4572614758029028,0.0,0.0,1.0
3,uniform,"(1, 1)",,0.12251997257596821,0.09266334866148652,0.45716816083621303,0.08726364763550173,0.06492144357948046,0.7276400638308038
3,distance,"(1, 2)",,0.12349345409894959,0.0935755732750499,0.44850775878852134,0.0,0.0,1.0
3,uniform,"(1, 2)",,0.12351674285001957,0.09354847385530528,0.4482997351867103,0.08810637609084729,0.06594867192601324,0.7223541568336489
3,uniform,"(1, 1)",1000.0,0.12395208260413226,0.09333372081997555,0.4444039019749325,0.0890947778586941,0.06589739812931675,0.7160897989981461
3,distance,"(1, 1)",1000.0,0.1240035159556463,0.0933918840507965,0.44394272217730946,0.0,0.0,1.0
3,distance,"(1, 1)",500.0,0.1256008271797594,0.09417020313524137,0.4295251142160761,0.0,0.0,1.0
3,uniform,"(1, 1)",500.0,0.12562693495449734,0.09421027131563937,0.42928792823434614,0.08939259891791664,0.06600639896144947,0.7141885482009148
3,uniform,"(1, 2)",1000.0,0.12803864901075948,0.09573635680798556,0.40716518932269863,0.08824974023616888,0.06541281127253147,0.7214498671532192
3,distance,"(1, 2)",1000.0,0.12808252240333304,0.09575946396371825,0.40675884122726014,0.0,0.0,1.0
3,distance,"(1, 2)",500.0,0.12829870663330128,0.0951916095101799,0.4047545456587589,0.0,0.0,1.0
3,uniform,"(1, 2)",500.0,0.12833696195416255,0.0952662452932309,0.4043995194648278,0.08877084825056915,0.06561092475561377,0.7181505198688208
