ngram_range,max_features,rmse,mae,r2,rmse_train,mae_train,r2_train,params
"(1, 1)",500.0,0.12076277605658907,0.09324879082238799,0.4726272242661913,0.11784718850885685,0.090797832344966,0.503276221504042,"ngram_range=(1, 1) | max_features=500.0"
"(1, 2)",500.0,0.1207627839591733,0.09324874817495132,0.4726271552447917,0.1178471889276609,0.09079768708337024,0.503276217973539,"ngram_range=(1, 2) | max_features=500.0"
"(1, 1)",,0.12076284663804902,0.0932489081175405,0.4726266078055146,0.1178471883129698,0.09079781661774582,0.5032762231553629,"ngram_range=(1, 1) | max_features=nan"
"(1, 3)",,0.12076284734448407,0.09324892100994914,0.47262660163548686,0.1178471883198593,0.09079780864194079,0.5032762230972846,"ngram_range=(1, 3) | max_features=nan"
"(2, 2)",1000.0,0.12076286831323219,0.09324894138334508,0.4726264184937151,0.11784718836698779,0.09079782501648866,0.5032762226999932,"ngram_range=(2, 2) | max_features=1000.0"
"(1, 1)",1000.0,0.12076287170500193,0.0932489207955817,0.47262638886987784,0.1178471883476033,0.09079783773929372,0.5032762228634038,"ngram_range=(1, 1) | max_features=1000.0"
"(2, 2)",,0.1207629131654843,0.09324898100666577,0.4726260267524861,0.11784718830134297,0.09079782303997833,0.5032762232533766,"ngram_range=(2, 2) | max_features=nan"
"(1, 2)",,0.12076293435047734,0.09324900374421252,0.47262584172192257,0.11784718830790526,0.0907978035129403,0.5032762231980568,"ngram_range=(1, 2) | max_features=nan"
"(1, 3)",1000.0,0.12076295389168261,0.09324897084227242,0.4726256710482376,0.11784718835483327,0.09079783646153619,0.5032762228024554,"ngram_range=(1, 3) | max_features=1000.0"
"(1, 2)",1000.0,0.12076297550597813,0.09324906066703478,0.47262548226806533,0.11784718837494466,0.0907978195670652,0.503276222632917,"ngram_range=(1, 2) | max_features=1000.0"
"(1, 3)",500.0,0.12076318724896817,0.09324930684331605,0.4726236328940384,0.11784718882091806,0.09079780969396949,0.5032762188733773,"ngram_range=(1, 3) | max_features=500.0"
"(2, 2)",500.0,0.12076332634323457,0.0932496451067583,0.4726224180358881,0.11784718877412655,0.09079777717672328,0.503276219267828,"ngram_range=(2, 2) | max_features=500.0"
