alpha,ngram_range,max_features,rmse,mae,r2,rmse_train,mae_train,r2_train,params
1.0,"(1, 1)",,0.12056751551017479,0.09315757123632526,0.47433125674759313,0.11792546827476894,0.09081868304575398,0.5026161067280472,"alpha=1.0 | ngram_range=(1, 1) | max_features=nan"
1.0,"(1, 2)",,0.1205803025072958,0.09312894993260205,0.47421974941296463,0.11789519359941476,0.09079021153037134,0.502871457895169,"alpha=1.0 | ngram_range=(1, 2) | max_features=nan"
1.0,"(1, 3)",,0.12058281720539506,0.0931231612510769,0.47419781892587387,0.11789147747503108,0.09078557425322366,0.5029027969570139,"alpha=1.0 | ngram_range=(1, 3) | max_features=nan"
1.0,"(2, 2)",,0.12058735357749056,0.09311911188870413,0.47415825641997145,0.11789219562883993,0.09078180869225021,0.5028967406526106,"alpha=1.0 | ngram_range=(2, 2) | max_features=nan"
1.0,"(1, 2)",1000.0,0.12059402725647089,0.09322239829636371,0.47410005137616296,0.1181246287222396,0.09099300147671252,0.5009346574344948,"alpha=1.0 | ngram_range=(1, 2) | max_features=1000.0"
0.1,"(1, 1)",500.0,0.12060726942465011,0.09321796734250674,0.4739845491729865,0.11790001951124005,0.09087553369557079,0.5028307582272853,"alpha=0.1 | ngram_range=(1, 1) | max_features=500.0"
0.1,"(1, 2)",500.0,0.1206111873096958,0.09317146782368733,0.4739503737613099,0.11792811571710242,0.09089547046850704,0.5025937738092059,"alpha=0.1 | ngram_range=(1, 2) | max_features=500.0"
0.1,"(1, 3)",500.0,0.12061560388019946,0.09314188892811516,0.47391184702340505,0.11795549192710829,0.0909336293053499,0.5023628080588947,"alpha=0.1 | ngram_range=(1, 3) | max_features=500.0"
1.0,"(1, 3)",1000.0,0.12061620856061459,0.09324089309442182,0.4739065721503388,0.11815776692996333,0.0910115552761964,0.5006546065943118,"alpha=1.0 | ngram_range=(1, 3) | max_features=1000.0"
1.0,"(1, 1)",1000.0,0.1206535479489761,0.09337590177238593,0.4735807942525322,0.11810250365025331,0.09100363936955852,0.5011215925836556,"alpha=1.0 | ngram_range=(1, 1) | max_features=1000.0"
0.1,"(1, 2)",1000.0,0.12071229691589597,0.09322842123560188,0.4730680183837689,0.11785195227110132,0.09080061755033414,0.5032360623481373,"alpha=0.1 | ngram_range=(1, 2) | max_features=1000.0"
0.1,"(1, 3)",1000.0,0.12071253504281165,0.09322918215528475,0.4730659394437683,0.11785279892878411,0.09079961757396278,0.5032289247401976,"alpha=0.1 | ngram_range=(1, 3) | max_features=1000.0"
0.1,"(1, 1)",1000.0,0.12072664231726372,0.09324829997478695,0.47294277016763486,0.11785152273630767,0.09080225146848524,0.503239683450758,"alpha=0.1 | ngram_range=(1, 1) | max_features=1000.0"
0.1,"(1, 1)",,0.12073472087368417,0.09323497456292988,0.47287223057594197,0.11784812787049304,0.09079397267938272,0.5032683026877027,"alpha=0.1 | ngram_range=(1, 1) | max_features=nan"
0.1,"(1, 2)",,0.1207389219798628,0.0932329659361589,0.4728355458800826,0.1178477222995481,0.09079343212477356,0.5032717216575386,"alpha=0.1 | ngram_range=(1, 2) | max_features=nan"
0.1,"(1, 3)",,0.12073953508041699,0.09323277965084772,0.4728301920863883,0.11784767548765065,0.09079334887501385,0.5032721162818581,"alpha=0.1 | ngram_range=(1, 3) | max_features=nan"
0.1,"(2, 2)",,0.12074050743170557,0.09323230194791346,0.4728217011425443,0.11784768266783859,0.09079264169321988,0.5032720557528803,"alpha=0.1 | ngram_range=(2, 2) | max_features=nan"
0.1,"(2, 2)",500.0,0.12075052902972912,0.09325590099446916,0.4727341847263098,0.11790799429131443,0.0907874442562379,0.5027634987057049,"alpha=0.1 | ngram_range=(2, 2) | max_features=500.0"
0.1,"(2, 2)",1000.0,0.1207529465239109,0.09324775234173235,0.4727130721927144,0.1178532656685775,0.09078941716142157,0.5032249899454322,"alpha=0.1 | ngram_range=(2, 2) | max_features=1000.0"
1.0,"(1, 1)",500.0,0.12085994526849414,0.09370660675036513,0.47177820414538896,0.11887702700982598,0.09175661627441382,0.49455678722540264,"alpha=1.0 | ngram_range=(1, 1) | max_features=500.0"
1.0,"(2, 2)",1000.0,0.12086929711165857,0.09336098927465038,0.4716964559947263,0.1181129617526277,0.09092919675067207,0.5010332362441106,"alpha=1.0 | ngram_range=(2, 2) | max_features=1000.0"
1.0,"(1, 2)",500.0,0.1209981136686901,0.09359426570427075,0.47056977602441685,0.11896355713713701,0.09178714321615944,0.4938206991130615,"alpha=1.0 | ngram_range=(1, 2) | max_features=500.0"
1.0,"(1, 3)",500.0,0.12113835817467401,0.09368403432639559,0.4693417781984728,0.11914801175037158,0.09197483976901785,0.49224980643120486,"alpha=1.0 | ngram_range=(1, 3) | max_features=500.0"
1.0,"(2, 2)",500.0,0.12133095662058521,0.09369994823910675,0.46765304479247494,0.11874795950526454,0.09141773295648033,0.4956537339028685,"alpha=1.0 | ngram_range=(2, 2) | max_features=500.0"
10.0,"(1, 3)",,0.12139601199917889,0.09411043206705272,0.46708202288344847,0.12000143753223882,0.09242013452319013,0.48494999498770586,"alpha=10.0 | ngram_range=(1, 3) | max_features=nan"
10.0,"(1, 2)",,0.12144891219303035,0.09418402153115295,0.4666174671494372,0.12005941352258023,0.09246729429849593,0.48445220516197995,"alpha=10.0 | ngram_range=(1, 2) | max_features=nan"
10.0,"(2, 2)",,0.12147206023104501,0.09412866143383666,0.466414123446087,0.12006071079704377,0.09247554235768318,0.4844410638348208,"alpha=10.0 | ngram_range=(2, 2) | max_features=nan"
