n_estimators,max_depth,learning_rate,ngram_range,max_features,rmse,mae,r2,rmse_train,mae_train,r2_train,params
100,10,0.1,"(1, 2)",,0.09227625003445167,0.06855776011384804,0.6920846034952906,0.038147503112159864,0.02803222065218843,0.9479514383068622,"n_estimators=100 | max_depth=10 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=nan"
100,10,0.1,"(1, 1)",,0.0941516987864047,0.06911547379281598,0.6794410906707448,0.03735514430002795,0.02759262781055101,0.9500911761649967,"n_estimators=100 | max_depth=10 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=nan"
50,10,0.1,"(1, 2)",,0.0943869532567936,0.07059935944556667,0.6778371444097591,0.051457989838123525,0.038551035336845924,0.9052929885747518,"n_estimators=50 | max_depth=10 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=nan"
100,6,,"(1, 1)",,0.09451919923156289,0.07081305025181965,0.6769337443900386,0.04906106463365411,0.03728498079511415,0.9139104505439084,"n_estimators=100 | max_depth=6 | learning_rate=nan | ngram_range=(1, 1) | max_features=nan"
100,10,0.1,"(1, 1)",1000.0,0.09478224737039603,0.06975339569957682,0.6751330471578576,0.03706812895526528,0.027541621229926008,0.9508551709281771,"n_estimators=100 | max_depth=10 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=1000.0"
100,6,,"(1, 2)",,0.0948947768578812,0.07062841420687536,0.6743611977072996,0.050462150058719756,0.03826501452685454,0.908923150354899,"n_estimators=100 | max_depth=6 | learning_rate=nan | ngram_range=(1, 2) | max_features=nan"
100,6,,"(1, 2)",1000.0,0.0951674241026305,0.0708374150780952,0.6724872891330719,0.04963624329229093,0.03789098362916818,0.9118800366848232,"n_estimators=100 | max_depth=6 | learning_rate=nan | ngram_range=(1, 2) | max_features=1000.0"
100,6,,"(1, 1)",1000.0,0.09528345405626842,0.0710465825368946,0.6716881826958682,0.05012045552783572,0.038021104621498124,0.9101523924039948,"n_estimators=100 | max_depth=6 | learning_rate=nan | ngram_range=(1, 1) | max_features=1000.0"
100,6,0.1,"(1, 1)",,0.09547229205980878,0.07196956029538305,0.6703855602414014,0.07434509578421818,0.0571480756338293,0.8023116169773062,"n_estimators=100 | max_depth=6 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=nan"
50,6,,"(1, 2)",,0.09549460564128429,0.07144927065451906,0.6702314686619144,0.06695889973448246,0.05064239700562783,0.8396410824709984,"n_estimators=50 | max_depth=6 | learning_rate=nan | ngram_range=(1, 2) | max_features=nan"
100,6,0.1,"(1, 2)",1000.0,0.09573076326214987,0.07214196227630242,0.6685984204619815,0.07403124897847638,0.056685095787798755,0.8039771715971888,"n_estimators=100 | max_depth=6 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=1000.0"
100,10,0.1,"(1, 2)",1000.0,0.09582848155860597,0.07011755241614423,0.6679215110785499,0.036628115328805916,0.027105818621482352,0.9520149839497569,"n_estimators=100 | max_depth=10 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=1000.0"
100,6,0.1,"(1, 1)",1000.0,0.09585953427594507,0.07250139679877388,0.6677062596199419,0.07513772674812763,0.05748246903555763,0.7980738329277189,"n_estimators=100 | max_depth=6 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=1000.0"
50,10,,"(1, 1)",1000.0,0.09587141596497185,0.07102030110426052,0.6676238795915623,0.027947868053091077,0.020579495961286675,0.9720633795860614,"n_estimators=50 | max_depth=10 | learning_rate=nan | ngram_range=(1, 1) | max_features=1000.0"
50,10,0.1,"(1, 1)",,0.0959751972706091,0.07137307732103147,0.6669038923547029,0.05054138097971445,0.03823674715891721,0.9086369252260421,"n_estimators=50 | max_depth=10 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=nan"
100,10,,"(1, 2)",,0.09602386773390215,0.07071194973563835,0.666565970620736,0.011971593370897184,0.008808106521284042,0.9948739786264065,"n_estimators=100 | max_depth=10 | learning_rate=nan | ngram_range=(1, 2) | max_features=nan"
100,6,0.1,"(1, 2)",,0.09604939145849467,0.07195177884759843,0.6663886895008474,0.07462807993219095,0.05716951984361456,0.8008038067576659,"n_estimators=100 | max_depth=6 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=nan"
50,6,,"(1, 1)",,0.09613487827170394,0.07204638458055984,0.665794577265582,0.06733448815458248,0.05090407158371773,0.8378370542687872,"n_estimators=50 | max_depth=6 | learning_rate=nan | ngram_range=(1, 1) | max_features=nan"
50,10,,"(1, 2)",,0.0961941355173149,0.07097426548365568,0.6653824438803463,0.02848371514012727,0.021123355097094978,0.9709818470044834,"n_estimators=50 | max_depth=10 | learning_rate=nan | ngram_range=(1, 2) | max_features=nan"
100,10,,"(1, 1)",1000.0,0.09656667866469291,0.07127732546632759,0.6627855938939139,0.01121057162917378,0.008297504355386917,0.9955049760056524,"n_estimators=100 | max_depth=10 | learning_rate=nan | ngram_range=(1, 1) | max_features=1000.0"
100,10,,"(1, 1)",,0.09667703316376136,0.0703403178721433,0.6620144295421164,0.01229662821868817,0.009079823066581342,0.994591851805238,"n_estimators=100 | max_depth=10 | learning_rate=nan | ngram_range=(1, 1) | max_features=nan"
50,10,,"(1, 1)",,0.09671852633749119,0.07049437608801103,0.6617242447265392,0.028560862809945055,0.0210372987889262,0.9708244437589646,"n_estimators=50 | max_depth=10 | learning_rate=nan | ngram_range=(1, 1) | max_features=nan"
50,6,,"(1, 2)",1000.0,0.09690144402351722,0.07231335808632977,0.660443515327044,0.06799989547745942,0.05179741631063168,0.8346161914807239,"n_estimators=50 | max_depth=6 | learning_rate=nan | ngram_range=(1, 2) | max_features=1000.0"
50,6,,"(1, 1)",1000.0,0.09714820717973911,0.0731069578551283,0.6587119267435411,0.06948348114128504,0.05257393262858503,0.8273209559741718,"n_estimators=50 | max_depth=6 | learning_rate=nan | ngram_range=(1, 1) | max_features=1000.0"
50,10,0.1,"(1, 1)",1000.0,0.09717780104490438,0.07230181487459846,0.6585039646641195,0.051003570342577,0.038789706106412816,0.906958295999403,"n_estimators=50 | max_depth=10 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=1000.0"
